topic,Segments,Total_Duration,Mean_Duration,Median_Duration,Min_Duration,Max_Duration,Std_Duration
KhoaiLangThang,1564,46920.0,30.0,30.0,30.0,30.0,0.0
channel_7,1564,46920.0,30.0,30.0,30.0,30.0,0.0
truy.lung.dau.vet.podcast,1564,46920.0,30.0,30.0,30.0,30.0,0.0
duythanhish,1564,46920.0,30.0,30.0,30.0,30.0,0.0
sachnoivietnam15,971,29130.0,30.0,30.0,30.0,30.0,0.0
betterversionvn,971,29130.0,30.0,30.0,30.0,30.0,0.0
Vietcetera,79,2381.58,30.15,29.9,19.26,64.18,4.62
Spiderum,69,2043.3,29.61,29.14,18.74,40.1,5.24
VatLyChill,48,1478.76,30.81,31.04,20.76,36.98,4.01
vtv24,41,1429.88,34.88,35.0,27.06,42.72,2.87
